Fecha;Portafolio;ASSETCLASS;Numtit;Titulo; Nominal ; VPNOrigen ; VPNLocal 
28/02/2019;FONPET2012;BONOS INFLACIÓN;283;CDTIPC; 2.275.000.000 ; 2.391.684.750 ; 2.391.684.750 
28/02/2019;FONPET2012;BONOS INFLACIÓN;286;CDTIPC; 350.000.000 ; 367.699.500 ; 367.699.500 
28/02/2019;FONPET2012;BONOS FIJOS;319;CDTFIJO; 350.000.000 ; 373.240.000 ; 373.240.000 
28/02/2019;FONPET2012;BONOS INFLACIÓN;323;CDTIPC; 2.800.000.000 ; 2.897.048.000 ; 2.897.048.000 
28/02/2019;FONPET2012;BONOS INFLACIÓN;331;CDTIPC; 1.225.000.000 ; 1.270.141.250 ; 1.270.141.250 
28/02/2019;FONPET2012;BONOS INFLACIÓN;345;CDTIPC; 7.175.000.000 ; 7.446.430.250 ; 7.446.430.250 
28/02/2019;FONPET2012;BONOS INFLACIÓN;357;CDTIPC; 12.425.000.000 ; 13.074.579.000 ; 13.074.579.000 
28/02/2019;FONPET2012;BONOS INFLACIÓN;359;CDTIPC366; 3.150.000.000 ; 3.290.049.000 ; 3.290.049.000 
28/02/2019;FONPET2012;BONOS INFLACIÓN;360;CDTIPC366; 5.250.000.000 ; 5.481.577.500 ; 5.481.577.500 
28/02/2019;FONPET2012;BONOS INFLACIÓN;361;CDTIPC; 5.425.000.000 ; 5.527.044.250 ; 5.527.044.250 
28/02/2019;FONPET2012;BONOS INFLACIÓN;384;CDTIPC365; 3.850.000.000 ; 3.955.682.500 ; 3.955.682.500 
28/02/2019;FONPET2012;BONOS INFLACIÓN;385;CDTIPC365; 2.800.000.000 ; 2.934.792.000 ; 2.934.792.000 
28/02/2019;FONPET2012;BONOS INFLACIÓN;386;CDTIPC365; 12.950.000.000 ; 13.548.031.000 ; 13.548.031.000 
28/02/2019;FONPET2012;BONOS INFLACIÓN;387;CDTIPC366; 3.500.000.000 ; 3.658.025.000 ; 3.658.025.000 
28/02/2019;FONPET2012;BONOS INFLACIÓN;389;CDTIPC365; 5.600.000.000 ; 5.933.592.000 ; 5.933.592.000 
28/02/2019;FONPET2012;BONOS INFLACIÓN;390;CDTIPC365; 5.950.000.000 ; 6.083.339.500 ; 6.083.339.500 
28/02/2019;FONPET2012;BONOS INFLACIÓN;403;CDTIPC; 700.000.000 ; 734.293.000 ; 734.293.000 
28/02/2019;FONPET2012;BONOS INFLACIÓN;405;CDTIPC; 1.750.000.000 ; 1.846.512.500 ; 1.846.512.500 
28/02/2019;FONPET2012;BONOS INFLACIÓN;429;CDTIPC365; 525.000.000 ; 559.109.250 ; 559.109.250 
28/02/2019;FONPET2012;BONOS INFLACIÓN;430;CDTIPC365; 525.000.000 ; 559.581.750 ; 559.581.750 
28/02/2019;FONPET2012;BONOS INFLACIÓN;432;CDTIPC365; 350.000.000 ; 368.000.500 ; 368.000.500 
28/02/2019;FONPET2012;BONOS INFLACIÓN;436;CDTIPC; 23.975.000.000 ; 25.246.154.500 ; 25.246.154.500 
28/02/2019;FONPET2012;BONOS INFLACIÓN;439;CDTIPC; 4.550.000.000 ; 4.808.849.500 ; 4.808.849.500 
28/02/2019;FONPET2012;BONOS INFLACIÓN;445;CDTIPC; 1.400.000.000 ; 1.458.212.000 ; 1.458.212.000 
28/02/2019;FONPET2012;BONOS INFLACIÓN;450;CDTIPC; 2.100.000.000 ; 2.258.907.000 ; 2.258.907.000 
28/02/2019;FONPET2012;BONOS INFLACIÓN;553;CDTIPC365; 7.000.000.000 ; 7.326.970.000 ; 7.326.970.000 
28/02/2019;FONPET2012;D PUB INFLACIÓN;591;TUVT27230223; 319.886.000 ; 348.986.029 ; 91.548.527.937 
28/02/2019;FONPET2012;BONOS INFLACIÓN;615;CDTIPC; 4.200.000.000 ; 4.398.198.000 ; 4.398.198.000 
28/02/2019;FONPET2012;BONOS INFLACIÓN;616;CDTIPC; 350.000.000 ; 365.547.000 ; 365.547.000 
28/02/2019;FONPET2012;BONOS INFLACIÓN;617;CDTIPC; 4.550.000.000 ; 4.763.941.000 ; 4.763.941.000 
28/02/2019;FONPET2012;BONOS INFLACIÓN;618;CDTIPC; 525.000.000 ; 552.903.750 ; 552.903.750 
28/02/2019;FONPET2012;BONOS INFLACIÓN;619;CDTIPC; 1.050.000.000 ; 1.105.996.500 ; 1.105.996.500 
28/02/2019;FONPET2012;BONOS INFLACIÓN;655;CDTIPC; 7.000.000.000 ; 7.320.670.000 ; 7.320.670.000 
28/02/2019;FONPET2012;BONOS INFLACIÓN;656;CDTIPC; 5.250.000.000 ; 5.484.150.000 ; 5.484.150.000 
28/02/2019;FONPET2012;BONOS INFLACIÓN;657;CDTIPC; 7.350.000.000 ; 7.652.011.500 ; 7.652.011.500 
28/02/2019;FONPET2012;BONOS INFLACIÓN;660;CDTIPC; 5.250.000.000 ; 5.455.065.000 ; 5.455.065.000 
28/02/2019;FONPET2012;BONOS INFLACIÓN;661;CDTIPC; 3.500.000.000 ; 3.633.245.000 ; 3.633.245.000 
28/02/2019;FONPET2012;BONOS INFLACIÓN;663;CDTIPC; 5.250.000.000 ; 5.454.277.500 ; 5.454.277.500 
28/02/2019;FONPET2012;BONOS INFLACIÓN;665;CDTIPC; 5.250.000.000 ; 5.451.915.000 ; 5.451.915.000 
28/02/2019;FONPET2012;BONOS INFLACIÓN;674;CDTIPC; 3.500.000.000 ; 3.673.740.000 ; 3.673.740.000 
28/02/2019;FONPET2012;BONOS INFLACIÓN;684;CDTIPC; 3.500.000.000 ; 3.641.925.000 ; 3.641.925.000 
28/02/2019;FONPET2012;BONOS INFLACIÓN;686;CDTIPC; 2.450.000.000 ; 2.574.656.000 ; 2.574.656.000 
28/02/2019;FONPET2012;BONOS INFLACIÓN;696;CDTIPC; 350.000.000 ; 374.370.500 ; 374.370.500 
